x,bps
4.797916,0.025693
4.806046,0.025401
4.814177,0.025112
4.822307,0.024826
4.830437,0.024543
4.838568,0.024264
4.846698,0.023987
4.854829,0.023714
4.862959,0.023444
4.871090,0.023176
4.879220,0.022912
4.887350,0.022651
4.895481,0.022393
4.903611,0.022137
4.911742,0.021884
4.919872,0.021635
4.928003,0.021388
4.936133,0.021144
4.944263,0.020902
4.952394,0.020663
4.960524,0.020427
4.968655,0.020194
4.976785,0.019963
4.984915,0.019735
4.993046,0.019509
5.001176,0.019286
5.009307,0.019065
5.017437,0.018847
5.025568,0.018631
5.033698,0.018418
5.041828,0.018207
5.049959,0.017998
5.058089,0.017792
5.066220,0.017588
5.074350,0.017387
5.082481,0.017187
5.090611,0.016990
5.098741,0.016795
5.106872,0.016602
5.115002,0.016412
5.123133,0.016223
5.131263,0.016037
5.139394,0.015853
5.147524,0.015671
5.155654,0.015490
5.163785,0.015312
5.171915,0.015136
5.180046,0.014962
5.188176,0.014790
5.196306,0.014620
5.204437,0.014451
5.210761,0.014322
5.217084,0.014193
5.222505,0.014084
5.227925,0.013975
5.233345,0.013868
5.238765,0.013761
5.244186,0.013655
5.249606,0.013550
5.255026,0.013445
5.260446,0.013342
5.265867,0.013239
5.271287,0.013137
5.276707,0.013035
5.282128,0.012935
5.287548,0.012835
5.292968,0.012736
5.298388,0.012638
5.303809,0.012540
5.309229,0.012443
5.314649,0.012347
5.320070,0.012252
5.325490,0.012157
5.330910,0.012063
5.336330,0.011970
5.341751,0.011877
5.347171,0.011785
5.352591,0.011694
5.358012,0.011604
5.363432,0.011514
5.368852,0.011425
5.374272,0.011336
5.379693,0.011248
5.385113,0.011161
5.390533,0.011075
5.395954,0.010989
5.401374,0.010904
5.406794,0.010819
5.412214,0.010735
5.417635,0.010652
5.423055,0.010569
5.428475,0.010487
5.433896,0.010406
5.439316,0.010325
5.444736,0.010245
5.450156,0.010165
5.455577,0.010086
5.460997,0.010008
5.466417,0.009930
5.471837,0.009853
5.477258,0.009776
5.482678,0.009700
5.488098,0.009624
5.493519,0.009549
5.498939,0.009475
5.504359,0.009401
5.509779,0.009328
5.515200,0.009255
5.520620,0.009183
5.526040,0.009112
5.531461,0.009040
5.536881,0.008970
5.542301,0.008900
5.547721,0.008830
5.553142,0.008761
5.558562,0.008693
5.563982,0.008625
5.569403,0.008558
5.574823,0.008491
5.580243,0.008424
5.585663,0.008358
5.591084,0.008293
5.596504,0.008228
5.601924,0.008164
5.607345,0.008100
5.612765,0.008036
5.618185,0.007973
5.623605,0.007911
5.629026,0.007849
5.634446,0.007787
5.639866,0.007726
5.645287,0.007666
5.650707,0.007605
5.656127,0.007546
5.661547,0.007486
5.666968,0.007428
5.672388,0.007369
5.677808,0.007311
5.683228,0.007254
5.688649,0.007197
5.694069,0.007140
5.699489,0.007084
5.704910,0.007028
5.710330,0.006973
5.715750,0.006918
5.721170,0.006863
5.726591,0.006809
5.732011,0.006756
5.737431,0.006702
5.742852,0.006649
5.748272,0.006597
5.753692,0.006545
5.759112,0.006493
5.764533,0.006442
5.769953,0.006391
5.775373,0.006340
5.780794,0.006290
5.786214,0.006240
5.791634,0.006191
5.797054,0.006142
5.802475,0.006093
5.807895,0.006045
5.813315,0.005997
5.818736,0.005950
5.824156,0.005902
5.829576,0.005856
5.834996,0.005809
5.839513,0.005771
5.844030,0.005732
5.846740,0.005710
5.849450,0.005687
5.852161,0.005664
5.854871,0.005642
5.857581,0.005619
5.860291,0.005597
5.863001,0.005575
5.865711,0.005552
5.868421,0.005530
5.871132,0.005508
5.873842,0.005486
5.876552,0.005464
5.879262,0.005443
5.881972,0.005421
5.884682,0.005399
5.887392,0.005378
5.890103,0.005356
5.892813,0.005335
5.895523,0.005314
5.898233,0.005292
5.900943,0.005271
5.903653,0.005250
5.906363,0.005229
5.909074,0.005208
5.911784,0.005188
5.914494,0.005167
5.917204,0.005146
5.919914,0.005126
5.922624,0.005105
5.925334,0.005085
5.928045,0.005064
5.930755,0.005044
5.933465,0.005024
5.936175,0.005004
5.938885,0.004984
5.941595,0.004964
5.944305,0.004944
5.947016,0.004924
5.949726,0.004904
5.952436,0.004885
5.955146,0.004865
5.957856,0.004846
5.960566,0.004826
5.963276,0.004807
5.965987,0.004787
5.968697,0.004768
5.971407,0.004749
5.974117,0.004730
5.976827,0.004711
5.979537,0.004692
5.982247,0.004673
5.984958,0.004655
5.987668,0.004636
5.990378,0.004617
5.993088,0.004599
5.995798,0.004580
5.998508,0.004562
6.001218,0.004543
6.003929,0.004525
6.006639,0.004507
6.009349,0.004489
6.012059,0.004471
6.014769,0.004453
6.017479,0.004435
6.020189,0.004417
6.022899,0.004399
6.025610,0.004381
6.028320,0.004364
6.031030,0.004346
6.033740,0.004329
6.036450,0.004311
6.039160,0.004294
6.041870,0.004276
6.044581,0.004259
6.047291,0.004242
6.050001,0.004225
6.052711,0.004208
6.055421,0.004191
6.058131,0.004174
6.060841,0.004157
6.063552,0.004140
6.066262,0.004124
6.068972,0.004107
6.071682,0.004090
6.074392,0.004074
6.077102,0.004057
6.079812,0.004041
6.082523,0.004024
6.085233,0.004008
6.087943,0.003992
6.090653,0.003976
6.093363,0.003960
6.096073,0.003944
6.098783,0.003928
6.101494,0.003912
6.104204,0.003896
6.106914,0.003880
6.109624,0.003864
6.112334,0.003849
6.115044,0.003833
6.117754,0.003818
6.120465,0.003802
6.123175,0.003787
6.125885,0.003771
6.128595,0.003756
6.131305,0.003741
6.134015,0.003725
6.136725,0.003710
6.139436,0.003695
6.142146,0.003680
6.144856,0.003665
6.147566,0.003650
6.150276,0.003635
6.152986,0.003621
6.155696,0.003606
6.158407,0.003591
6.161117,0.003577
6.163827,0.003562
6.166537,0.003548
6.169247,0.003533
6.171957,0.003519
6.174667,0.003504
6.177378,0.003490
6.180088,0.003476
6.182798,0.003462
6.185508,0.003448
6.188218,0.003433
6.190928,0.003419
6.193638,0.003405
6.196349,0.003392
6.199059,0.003378
6.201769,0.003364
6.204479,0.003350
6.207189,0.003336
6.209899,0.003323
6.212609,0.003309
6.215320,0.003296
6.218030,0.003282
6.220740,0.003269
6.223450,0.003255
6.226160,0.003242
6.228870,0.003229
6.231580,0.003216
6.234290,0.003202
6.237001,0.003189
6.239711,0.003176
6.242421,0.003163
6.245131,0.003150
6.247841,0.003137
6.250551,0.003124
6.253261,0.003112
6.255972,0.003099
6.258682,0.003086
6.261392,0.003073
6.264102,0.003061
6.266812,0.003048
6.269522,0.003036
6.272232,0.003023
6.274943,0.003011
6.277653,0.002998
6.280363,0.002986
6.283073,0.002974
6.285783,0.002961
6.288493,0.002949
6.291203,0.002937
