x,B,f,A0,Atheta,A0`, energy, f`
10.024046,0.006699,1.001418,0.003849,-25.059327,-0.005935,0.000054,0.000418
10.030144,0.006668,1.001421,0.003813,-25.058918,-0.005891,0.000053,0.000388
10.036242,0.006636,1.001423,0.003777,-25.058511,-0.005847,0.000053,0.000359
10.042340,0.006605,1.001425,0.003742,-25.058106,-0.005803,0.000052,0.000330
10.048438,0.006573,1.001427,0.003707,-25.057703,-0.005759,0.000051,0.000302
10.054535,0.006542,1.001429,0.003672,-25.057301,-0.005715,0.000050,0.000275
10.060633,0.006510,1.001430,0.003637,-25.056900,-0.005672,0.000050,0.000247
10.066731,0.006479,1.001432,0.003603,-25.056502,-0.005629,0.000049,0.000221
10.072829,0.006447,1.001433,0.003568,-25.056105,-0.005586,0.000048,0.000194
10.078927,0.006415,1.001434,0.003534,-25.055710,-0.005543,0.000047,0.000169
10.085024,0.006383,1.001435,0.003501,-25.055317,-0.005501,0.000047,0.000143
10.091122,0.006351,1.001436,0.003467,-25.054925,-0.005459,0.000046,0.000118
10.097220,0.006319,1.001437,0.003434,-25.054535,-0.005417,0.000045,0.000094
10.103318,0.006287,1.001437,0.003401,-25.054147,-0.005375,0.000045,0.000070
10.109416,0.006255,1.001437,0.003369,-25.053760,-0.005333,0.000044,0.000046
10.115514,0.006223,1.001438,0.003336,-25.053376,-0.005292,0.000043,0.000023
10.121611,0.006191,1.001438,0.003304,-25.052993,-0.005251,0.000043,-0.000000
10.127709,0.006159,1.001438,0.003272,-25.052611,-0.005210,0.000042,-0.000023
10.133807,0.006127,1.001437,0.003241,-25.052232,-0.005169,0.000041,-0.000045
10.139905,0.006095,1.001437,0.003209,-25.051854,-0.005129,0.000041,-0.000067
10.146003,0.006062,1.001437,0.003178,-25.051478,-0.005088,0.000040,-0.000088
10.152100,0.006030,1.001436,0.003147,-25.051104,-0.005048,0.000039,-0.000109
10.158198,0.005998,1.001435,0.003116,-25.050732,-0.005009,0.000039,-0.000129
10.164296,0.005966,1.001434,0.003086,-25.050361,-0.004969,0.000038,-0.000150
10.170394,0.005934,1.001433,0.003056,-25.049992,-0.004930,0.000038,-0.000169
10.176492,0.005901,1.001432,0.003026,-25.049625,-0.004890,0.000037,-0.000189
10.182590,0.005869,1.001431,0.002996,-25.049260,-0.004852,0.000037,-0.000208
10.188687,0.005837,1.001430,0.002967,-25.048896,-0.004813,0.000036,-0.000227
10.194785,0.005805,1.001428,0.002937,-25.048534,-0.004774,0.000036,-0.000245
10.200883,0.005773,1.001427,0.002908,-25.048175,-0.004736,0.000035,-0.000263
